FIPS,Headers per well,Heaters per well,Heater-treater per well,Separators per well,Meters per well,Tanks per well,Compressors per well,Dehydrators per well,Pneumatic Pumps,Pneumatics - All,LU_plunger,LU_noplunger,Thru - tank controls,CH4 fraction,Basin
27077,,,,,,,,,,,,,,,320
53019,,,,,,,,,,,,,,,600
53065,,,,,,,,,,,,,,,600
53047,,,,,,,,,,,,,,,600
53051,,,,,,,,,,,,,,,600
16021,,,,,,,,,,,,,,,600
30053,,,,,,,,,,,,,,,610
30029,,,,,,,,,,,,,,,505
30035,,,,,,,,,,,,,,,503
30101,,,,,,,,,,,,,,,500
30051,,,,,,,,,,,,,,,500
30041,,,,,,,,,,,,,,,500
30091,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38023,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38013,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38075,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38009,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38079,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38095,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38019,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38067,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27069,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27135,,,,,,,,,,,,,,,320
30005,,,,,,,,,,,,,,,500
30071,,,,,,,,,,,,,,,510
30105,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
30019,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
53073,,,,,,,,,,,,,,,600
16017,,,,,,,,,,,,,,,600
38101,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27071,,,,,,,,,,,,,,,320
53057,,,,,,,,,,,,,,,600
38105,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38049,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27137,,,,,,,,,,,,,,,310
53055,,,,,,,,,,,,,,,600
30085,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38061,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27089,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38071,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38099,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27007,,,,,,,,,,,,,,,320
38069,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
53007,,,,,,,,,,,,,,,600
30073,,,,,,,,,,,,,,,503
53009,,,,,,,,,,,,,,,710
38005,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
30015,,,,,,,,,,,,,,,500
53061,,,,,,,,,,,,,,,600
53029,,,,,,,,,,,,,,,705
30089,,,,,,,,,,,,,,,610
27075,,,,,,,,,,,,,,,320
38063,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38035,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27119,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
27113,,,,,,,,,,,,,,,320
53017,,,,,,,,,,,,,,,600
38053,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
53031,,,,,,,,,,,,,,,710
30083,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
30099,,,,,,,,,,,,,,,503
30055,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
16079,,,,,,,,,,,,,,,610
53063,,,,,,,,,,,,,,,600
30047,,,,,,,,,,,,,,,505
27029,,,,,,,,,,,,,,,320
16055,,,,,,,,,,,,,,,610
30033,,,,,,,,,,,,,,,510
27125,,,,,,,,,,,,,,,320
53025,,,,,,,,,,,,,,,600
53043,,,,,,,,,,,,,,,600
30049,,,,,,,,,,,,,,,505
53035,,,,,,,,,,,,,,,705
27061,,,,,,,,,,,,,,,320
38083,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
38103,0.356987762,0.010363206,0.600177655,0.684563758,0.360146072,2.297275957,0.000394789,,0.05211212,1.541354126,0.090900118,0.000394789,0.982401347,0.54756023,395
