FIPS,Headers per well,Heaters per well,Heater-treater per well,Separators per well,Meters per well,Tanks per well,Compressors per well,Dehydrators per well,Pneumatic Pumps,Pneumatics - All,LU_plunger,LU_noplunger,Thru - tank controls,CH4 fraction,Basin,,,,,,,,,,,,,,,,0.002365131,0.030746706,0.049893006,0.602545332,0.821714157,,0.041220858,0.016668544,0.133460975,1.091113864
27077,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,
53019,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,0.3,0.235714286,0.278571429,0.907142857,0.235714286,4.530952381,0.257142857,,0.038095238,62.27380952
53065,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,0.343283582,,0.009950249,0.014925373,,,,0.343283582,0,0.019900498
53047,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,0.000396354,0.296868807,0.017439556,0.370590567,0.55648038,1.25366627,0.004359889,0.164090369,0.372175981,8.873959572
53051,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,0.011680144,0.002994909,0.027253669,0.078316861,0.862683438,,0.05705301,0.01542378,0.030548068,0.526504942
16021,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,0.099775425,0.057106192,0.363009304,1.356432467,0.502245749,2.002726981,0.070099455,0.001924928,0.247353224,3.076836702
30053,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,0.011135857,0.002474635,0.034521158,0.068671121,0.757485771,0.062979461,0.053452116,0.018188567,0.036624598,0.518559762
30029,,,,,,,,,,,,,,,505,,,,,,,,,,,,,,,,,0.066605546,7.14E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
30035,,,,,,,,,,,,,,,503,,,,,,,,,,,,,,,,,0.063849966,0.000142258,0.277236408,0.969319771,0.000450482,0.003912085,0.000189677,0.00898594,0.741517889
30101,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,0.95049505,,2.198019802,1.059405941,,0.445544554,0.069306931,1.158415842,73.40594059
30051,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,0.021857923,,0.013661202,,0.978142077,,0.06010929,0.049180328,0.076502732,1.401639344
30041,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,0.673469388,,0.714285714,0.224489796,0.306122449,2.163265306,,,2.551020408,5.551020408
