FIPS,Prov_Cod_1
27077,320
53019,600
53065,600
53047,600
53051,600
16021,600
30053,610
30029,505
30035,503
30101,500
30051,500
30041,500
30091,395
38023,395
38013,395
38075,395
38009,395
38079,395
38095,395
38019,395
38067,395
27069,395
27135,320
30005,500
30071,510
30105,395
30019,395
53073,600
16017,600
38101,395
27071,320
53057,600
38105,395
38049,395
27137,310
53055,600
30085,395
38061,395
27089,395
38071,395
38099,395
27007,320
38069,395
53007,600
30073,503
53009,710
38005,395
30015,500
53061,600
53029,705
30089,610
27075,320
38063,395
38035,395
27119,395
27113,320
53017,600
38053,395
53031,710
30083,395
30099,503
30055,395
16079,610
53063,600
30047,505
27029,320
16055,610
30033,510
27125,320
53025,600
53043,600
30049,505
53035,705
27061,320
38083,395
38103,395
38055,395
38027,395
38025,395
30027,500
30021,395
53033,600
30013,505
38039,395
38091,395
38097,395
53045,710
30063,610
30069,510
30077,505
53037,600
38031,395
38057,395
53027,710
27107,395
27087,320
30061,610
27021,320
23003,100
30045,505
27057,320
16009,610
30109,395
38033,395
38007,395
38093,395
38043,395
38015,395
53053,710
38065,395
53001,605
53075,610
38003,395
38017,395
30079,395
27005,320
27027,395
53067,710
16057,610
30059,505
53077,710
27001,320
38089,395
38059,395
55007,310
16035,610
30017,510
30087,510
30039,505
27159,320
27035,320
53049,710
53041,710
30007,505
27017,310
30037,510
55031,310
30065,510
30107,505
53021,605
53005,605
38037,395
27111,320
53023,605
30025,395
16049,610
30081,610
55003,310
38047,395
38029,395
38045,395
38087,395
38041,395
38073,395
38077,395
27167,395
16069,610
53013,605
53071,605
55051,310
23025,100
23021,100
30043,505
30111,510
30103,510
16061,610
53003,605
38085,395
27115,310
23019,100
53059,710
53015,710
53069,710
27153,320
27097,320
38051,395
38021,395
38081,395
38011,395
38001,395
30023,505
27095,320
41007,710
30097,505
30031,505
30067,505
41009,710
30093,505
55129,310
55113,310
55013,310
27065,320
30011,395
30095,505
27051,320
27041,320
53011,710
53039,605
30003,510
27155,395
41059,605
41063,610
55099,310
46021,395
46063,395
46089,395
46105,395
46031,395
46013,395
30001,610
46091,395
46109,395
41049,605
41061,605
30057,505
27009,320
41021,605
30075,510
27145,320
41057,710
41067,710
27121,320
27149,320
27059,320
27025,310
41055,605
55095,310
41051,710
41027,710
41065,710
16059,610
23029,100
23007,100
55005,310
55107,310
30009,505
46129,395
46045,395
46037,320
27011,320
27141,320
46137,395
46041,395
41005,710
27171,320
41071,710
27003,320
27067,320
27151,320
55119,310
23017,100
46051,320
27093,320
33007,100
27163,310
55017,310
41047,710
27073,320
16003,610
46107,395
46049,395
27053,320
46115,395
55109,310
55033,310
46019,395
16085,610
46025,320
46029,320
27023,320
27123,320
30113,505
41001,605
41053,710
41069,605
46093,395
41041,710
55019,310
50009,100
50013,100
50011,100
50019,100
36019,100
56029,505
56011,395
56003,515
56005,515
56033,515
36033,110
41023,605
27085,320
27019,320
46039,320
27037,310
27173,320
46119,395
46069,395
46059,320
27129,320
55093,310
16037,610
55035,310
16087,615
41031,710
27139,320
46057,320
50015,100
41043,710
46117,395
50005,100
23027,100
46055,395
16043,505
27143,320
50007,100
23011,100
27049,310
41003,710
27127,320
55141,310
55091,310
56039,505
46005,320
27083,320
27081,320
46081,395
55011,310
55121,310
55053,310
16033,610
41013,605
56019,515
46065,395
36031,100
27079,320
27131,320
46077,320
46011,320
46103,395
16045,610
27015,320
50023,100
23001,100
27103,320
27157,310
41045,620
23009,100
33009,100
41017,710
23013,100
16015,610
23015,100
50001,100
33003,100
41039,710
27013,320
55057,310
16023,610
46085,395
50017,100
27161,320
46017,320
46073,320
46101,320
27117,320
27039,325
46111,320
27101,320
27033,320
27147,325
27109,325
46097,320
46079,320
27169,310
56045,395
46075,395
23005,100
56043,515
55081,310
16075,615
36041,110
27165,320
36043,110
55063,310
16039,610
56017,520
16051,507
41025,605
23023,100
56013,520
46071,395
16013,610
16081,507
50027,100
41019,710
46003,320
46015,320
16065,507
16027,615
46095,395
16025,615
46033,395
50021,100
27043,320
46099,320
27133,320
27047,325
27105,320
27063,320
27091,320
27055,310
27099,325
27045,325
46035,320
46061,320
46087,320
23031,100
36115,100
16001,610
36113,100
46123,320
33001,100
55123,310
46113,395
16073,615
16019,507
16011,507
41035,710
41037,620
41011,710
33013,100
33019,100
33017,100
55103,310
56025,515
46053,320
56027,515
46023,320
46125,320
46083,320
19195,325
19131,325
19005,310
19189,325
19191,325
56009,515
19143,320
19059,320
19109,325
19089,325
19063,320
19119,320
46043,320
46067,320
46047,515
56035,507
55023,310
36091,100
46007,320
46121,320
50003,100
56023,507
36035,110
33015,100
19167,320
50025,100
19141,325
19033,325
19041,325
19081,325
19147,325
19067,325
19037,325
55049,310
55043,310
33011,100
16063,615
16047,615
16067,615
33005,100
46135,320
46009,320
16077,615
46127,320
46027,320
19065,325
19043,310
36057,110
16029,507
16005,507
31165,515
31045,515
31161,320
41029,710
31103,320
31015,320
31031,320
41015,710
36083,100
36093,160
19149,320
19035,325
19017,325
19023,325
19021,325
16083,615
19151,325
19091,325
19197,325
19069,325
36077,110
31089,380
25009,100
31107,320
31027,320
16053,615
36095,160
31017,390
55065,310
36001,100
31149,380
41033,710
31051,320
25003,100
25011,100
25017,100
25027,100
19061,310
16031,615
19187,325
19055,325
19019,325
19013,325
56015,515
56031,515
16007,507
19193,320
19093,325
19161,325
19025,325
19079,325
25015,100
19083,325
19075,325
31043,320
36025,160
17085,310
36021,100
16071,615
36039,100
25025,100
56007,515
31139,380
31013,390
31003,380
56001,515
16041,507
19097,310
31179,380
25013,100
19105,325
19011,325
19113,325
19171,325
31173,325
56037,507
25023,100
25021,100
19133,325
19047,325
19027,325
19073,325
19015,325
19127,325
19169,325
36111,100
31039,380
25005,100
31167,380
31119,380
31075,390
31115,380
31091,390
31071,380
31171,390
31183,380
31009,390
36027,100
25001,100
31021,325
9005,100
9003,100
19045,310
9013,100
9015,100
36105,160
44007,100
49005,507
6093,620
31069,390
49003,625
49033,507
31157,390
31123,390
42127,160
6015,710
32013,620
32007,615
6049,620
32031,620
19031,325
31011,380
19099,325
19153,325
19157,325
19085,325
19077,325
19165,325
19009,325
19095,325
19049,325
19103,325
17161,310
19163,310
44001,100
44003,100
31037,380
31053,380
31141,380
31005,390
31077,380
31117,390
31113,390
31041,390
31175,380
17197,310
39095,305
17093,310
18089,310
18127,300
39051,305
39055,160
9011,100
39171,305
31007,540
31177,325
44005,100
9001,100
56021,535
42131,160
44009,100
9007,100
9009,100
42069,160
17099,310
36071,100
42047,160
39035,160
42121,160
42053,160
39123,305
42023,160
39173,305
42103,160
42081,160
19139,310
42113,160
17011,310
17073,310
56041,507
18113,305
18033,305
36079,100
31125,380
39093,160
19123,325
19155,325
19183,325
19125,325
19121,325
19181,325
19107,325
19029,325
19001,325
39143,300
39155,160
42085,160
18099,305
39069,305
42035,160
25007,120
17063,310
6023,715
31023,380
31155,380
39043,160
18085,305
18149,305
42031,160
31033,540
