Basin,FOR
430,0.113480042
160A,0.01017473
160,0.021329916
220,0.189223213
360,0.025070282
745,0.001317795
260,0.067336762
230,0.04083303
580,0.05460911
395,0.303081754
540,0.003491231
355,0.018509631
345,0
420,0
595,0.040781841
425,0.009937771
350,0.032312062
535,0.027199163
575,0.022523299
515,0.029886234
415,0
435,0
200,0
400,0.46525139
500,0
455,0
210,0.110741254
760,0.04571168
530,0.015662244
520,0.001633194
507,0.43356252
755,0.0619949
585,0.270821435
315,2.404730365
730,7.02454383
390,0
510,0.251383452
740,0
750,0
300,8.979195419
445,0
450,0
545,0.003353119
335,0
410,0
625,0.58699293
380,0
630,0.022468781
720,0
640,0
250,108.1800091
590,0
725,7.434294383
140,0.359030134
710,0
405,0
735,0
650,0
