NAME,STATE_FIPS,CNTY_FIPS,FIPS,Join_Count,Annual_Oil,Annual_Gas,Prov_Cod_1
Lake of the Woods,27,77,27077,0,,,320
Ferry,53,19,53019,0,,,600
Stevens,53,65,53065,0,,,600
Okanogan,53,47,53047,0,,,600
Pend Oreille,53,51,53051,0,,,600
Boundary,16,21,16021,0,,,600
Lincoln,30,53,30053,0,,,610
Flathead,30,29,30029,0,,,505
Glacier,30,35,30035,729,246177,459424,503
Toole,30,101,30101,1609,161165,1827491,500
Liberty,30,51,30051,274,69916,745905,500
Hill,30,41,30041,504,548,2434632,500
Sheridan,30,91,30091,144,497525,216684,395
Divide,38,23,38023,760,5085275,8715287,395
Burke,38,13,38013,514,3299317,9089245,395
Renville,38,75,38075,228,439494,15678,395
Bottineau,38,9,38009,531,1216388,183884,395
Rolette,38,79,38079,0,,,395
Towner,38,95,38095,0,,,395
Cavalier,38,19,38019,0,,,395
Pembina,38,67,38067,0,,,395
Kittson,27,69,27069,0,,,395
Roseau,27,135,27135,0,,,320
Blaine,30,5,30005,701,201994,3007366,500
Phillips,30,71,30071,1498,0,7367453,510
Valley,30,105,30105,168,22863,758840,395
Daniels,30,19,30019,4,16939,0,395
Whatcom,53,73,53073,0,,,600
Bonner,16,17,16017,0,,,600
Ward,38,101,38101,6,15451,7843,395
Koochiching,27,71,27071,0,,,320
Skagit,53,57,53057,0,,,600
Williams,38,105,38105,3082,68879564,178510274,395
McHenry,38,49,38049,14,45134,0,395
St. Louis,27,137,27137,0,,,310
San Juan,53,55,53055,0,,,600
Roosevelt,30,85,30085,255,2577503,3374313,395
Mountrial,38,61,38061,3199,84131032,143869493,395
Marshall,27,89,27089,0,,,395
Ramsey,38,71,38071,0,,,395
Walsh,38,99,38099,0,,,395
Beltrami,27,7,27007,0,,,320
Pierce,38,69,38069,0,,,395
Chelan,53,7,53007,0,,,600
Pondera,30,73,30073,284,80956,61268,503
Clallam,53,9,53009,0,,,710
Benson,38,5,38005,0,,,395
Chouteau,30,15,30015,100,0,543470,500
Snohomish,53,61,53061,0,,,600
Island,53,29,53029,0,,,705
Sanders,30,89,30089,0,,,610
Lake,27,75,27075,0,,,320
Nelson,38,63,38063,0,,,395
Grand Forks,38,35,38035,0,,,395
Polk,27,119,27119,0,,,395
Pennington,27,113,27113,0,,,320
Douglas,53,17,53017,0,,,600
McKenzie,38,53,38053,5197,172548600,506926563,395
Jefferson,53,31,53031,0,,,710
Richland,30,83,30083,1152,8285026,13483649,395
Teton,30,99,30099,96,40619,3332,503
McCone,30,55,30055,5,435,0,395
Shoshone,16,79,16079,0,,,610
Spokane,53,63,53063,0,,,600
Lake,30,47,30047,0,,,505
Clearwater,27,29,27029,0,,,320
Kootenai,16,55,16055,0,,,610
Garfield,30,33,30033,5,4312,1300,510
Red Lake,27,125,27125,0,,,320
Grant,53,25,53025,0,,,600
Lincoln,53,43,53043,0,,,600
Lewis and Clark,30,49,30049,0,,,505
Kitsap,53,35,53035,0,,,705
Itasca,27,61,27061,0,,,320
Sheridan,38,83,38083,0,,,395
Wells,38,103,38103,0,,,395
McLean,38,55,38055,48,798920,617506,395
Eddy,38,27,38027,0,,,395
Dunn,38,25,38025,2658,86389148,121355243,395
Fergus,30,27,30027,5,0,8030,500
Dawson,30,21,30021,59,406924,234575,395
King,53,33,53033,0,,,600
Cascade,30,13,30013,0,,,505
Griggs,38,39,38039,0,,,395
Steele,38,91,38091,0,,,395
Traill,38,97,38097,0,,,395
Mason,53,45,53045,0,,,710
Missoula,30,63,30063,0,,,610
Petroleum,30,69,30069,27,12680,0,510
Powell,30,77,30077,0,,,505
Kittitas,53,37,53037,0,,,600
Foster,38,31,38031,0,,,395
Mercer,38,57,38057,0,,,395
Grays Harbor,53,27,53027,0,,,710
Norman,27,107,27107,0,,,395
Mahnomen,27,87,27087,0,,,320
Mineral,30,61,30061,0,,,610
Cass,27,21,27021,0,,,320
Aroostook,23,3,23003,0,,,100
Judith Basin,30,45,30045,0,,,505
Hubbard,27,57,27057,0,,,320
Benewah,16,9,16009,0,,,610
Wibaux,30,109,30109,92,299417,254612,395
Golden Valley,38,33,38033,69,466757,421298,395
Billings,38,7,38007,492,3573837,4918653,395
Stutsman,38,93,38093,0,,,395
Kidder,38,43,38043,0,,,395
Burleigh,38,15,38015,0,,,395
Pierce,53,53,53053,0,,,710
Oliver,38,65,38065,0,,,395
Adams,53,1,53001,0,,,605
Whitman,53,75,53075,0,,,610
Barnes,38,3,38003,0,,,395
Cass,38,17,38017,0,,,395
Prairie,30,79,30079,7,22016,3464,395
Becker,27,5,27005,0,,,320
Clay,27,27,27027,0,,,395
Thurston,53,67,53067,0,,,710
Latah,16,57,16057,0,,,610
Meagher,30,59,30059,0,,,505
Yakima,53,77,53077,0,,,710
Aitkin,27,1,27001,0,,,320
Stark,38,89,38089,277,2168534,5020811,395
Morton,38,59,38059,0,,,395
Bayfield,55,7,55007,0,,,310
Clearwater,16,35,16035,0,,,610
Custer,30,17,30017,4,0,1047,510
Rosebud,30,87,30087,69,97256,3245,510
Granite,30,39,30039,0,,,505
Wadena,27,159,27159,0,,,320
Crow Wing,27,35,27035,0,,,320
Pacific,53,49,53049,0,,,710
Lewis,53,41,53041,0,,,710
Broadwater,30,7,30007,0,,,505
Carlton,27,17,27017,0,,,310
Golden Valley,30,37,30037,3,0,13341,510
Douglas,55,31,55031,0,,,310
Musselshell,30,65,30065,55,69682,989,510
Wheatland,30,107,30107,0,,,505
Franklin,53,21,53021,0,,,605
Benton,53,5,53005,0,,,605
Grant,38,37,38037,0,,,395
Otter Tail,27,111,27111,0,,,320
Garfield,53,23,53023,0,,,605
Fallon,30,25,30025,1387,3023233,5794223,395
Idaho,16,49,16049,0,,,610
Ravalli,30,81,30081,0,,,610
Ashland,55,3,55003,0,,,310
