NAME,CNTY_FIPS,FIPS,DI_Basin,Well_Count,Oil_Double,Gas_Double,Prov_Cod_1
Lake of the Woods,77,27077,,,,,320
Ferry,19,53019,,,,,600
Stevens,65,53065,,,,,600
Okanogan,47,53047,,,,,600
Pend Oreille,51,53051,,,,,600
Boundary,21,16021,,,,,600
Lincoln,53,30053,,,,,610
Flathead,29,30029,,,,,505
Glacier,35,30035,MONTANA THRUST BELT,684,241038,762475,503
Toole,101,30101,OTHER - MONTANA,1419,167719,1738455,500
Liberty,51,30051,OTHER - MONTANA,261,62677,728902,500
Hill,41,30041,OTHER - MONTANA,502,704,2498000,500
Sheridan,91,30091,WILLISTON,126,520547,239812,395
Divide,23,38023,WILLISTON,750,5380341,9243612,395
Burke,13,38013,WILLISTON,477,3542428,9128887,395
Renville,75,38075,WILLISTON,186,451911,15260,395
Bottineau,9,38009,WILLISTON,450,1239870,179455,395
Rolette,79,38079,,,,,395
Towner,95,38095,,,,,395
Cavalier,19,38019,,,,,395
Pembina,67,38067,,,,,395
Kittson,69,27069,,,,,395
Roseau,135,27135,,,,,320
Blaine,5,30005,OTHER - MONTANA,668,210603,3073967,500
Phillips,71,30071,OTHER - MONTANA,1467,0,7509199,510
Valley,105,30105,OTHER - MONTANA,164,35297,749251,395
Daniels,19,30019,WILLISTON,2,13612,0,395
Whatcom,73,53073,,,,,600
Bonner,17,16017,,,,,600
Ward,101,38101,WILLISTON,6,16688,7708,395
Koochiching,71,27071,,,,,320
Skagit,57,53057,,,,,600
Williams,105,38105,WILLISTON,3067,76835488,187855924,395
McHenry,49,38049,WILLISTON,12,46315,0,395
St. Louis,137,27137,,,,,310
San Juan,55,53055,,,,,600
Roosevelt,85,30085,WILLISTON,244,3141043,4124126,395
Mountrial,61,38061,WILLISTON,3193,86974956,142741317,395
Marshall,89,27089,,,,,395
Ramsey,71,38071,,,,,395
Walsh,99,38099,,,,,395
Beltrami,7,27007,,,,,320
Pierce,69,38069,,,,,395
Chelan,7,53007,,,,,600
Pondera,73,30073,MONTANA THRUST BELT,206,75788,24693,503
Clallam,9,53009,,,,,710
Benson,5,38005,,,,,395
Chouteau,15,30015,OTHER - MONTANA,99,0,560047,500
Snohomish,61,53061,,,,,600
Island,29,53029,,,,,705
Sanders,89,30089,,,,,610
Lake,75,27075,,,,,320
Nelson,63,38063,,,,,395
Grand Forks,35,38035,,,,,395
Polk,119,27119,,,,,395
Pennington,113,27113,,,,,320
Douglas,17,53017,,,,,600
McKenzie,53,38053,WILLISTON,5232,178967991,507742590,395
Jefferson,31,53031,,,,,710
Richland,83,30083,WILLISTON,1096,8913377,14592792,395
Teton,99,30099,MONTANA THRUST BELT,90,41369,3470,503
McCone,55,30055,WILLISTON,5,1171,0,395
Shoshone,79,16079,,,,,610
Spokane,63,53063,,,,,600
Lake,47,30047,,,,,505
Clearwater,29,27029,,,,,320
Kootenai,55,16055,,,,,610
Garfield,33,30033,BIG SNOWY TROUGH,4,4967,1353,510
Red Lake,125,27125,,,,,320
Grant,25,53025,,,,,600
Lincoln,43,53043,,,,,600
Lewis and Clark,49,30049,,,,,505
Kitsap,35,53035,,,,,705
Itasca,61,27061,,,,,320
Sheridan,83,38083,,,,,395
Wells,103,38103,,,,,395
McLean,55,38055,WILLISTON,47,807919,636935,395
Eddy,27,38027,,,,,395
Dunn,25,38025,WILLISTON,2691,90644688,121060749,395
Fergus,27,30027,BIG SNOWY TROUGH,3,0,8272,500
Dawson,21,30021,WILLISTON,55,447058,267318,395
King,33,53033,,,,,600
Cascade,13,30013,,,,,505
Griggs,39,38039,,,,,395
Steele,91,38091,,,,,395
Traill,97,38097,,,,,395
Mason,45,53045,,,,,710
Missoula,63,30063,,,,,610
Petroleum,69,30069,BIG SNOWY TROUGH,28,12450,0,510
Powell,77,30077,,,,,505
Kittitas,37,53037,,,,,600
Foster,31,38031,,,,,395
Mercer,57,38057,,,,,395
Grays Harbor,27,53027,,,,,710
Norman,107,27107,,,,,395
Mahnomen,87,27087,,,,,320
Mineral,61,30061,,,,,610
Cass,21,27021,,,,,320
Aroostook,3,23003,,,,,100
Judith Basin,45,30045,,,,,505
Hubbard,57,27057,,,,,320
Benewah,9,16009,,,,,610
Wibaux,109,30109,WILLISTON,87,302355,261683,395
Golden Valley,33,38033,WILLISTON,74,470482,415918,395
Billings,7,38007,WILLISTON,470,3454575,4963514,395
Stutsman,93,38093,,,,,395
Kidder,43,38043,,,,,395
Burleigh,15,38015,,,,,395
Pierce,53,53053,,,,,710
Oliver,65,38065,,,,,395
Adams,1,53001,,,,,605
Whitman,75,53075,,,,,610
Barnes,3,38003,,,,,395
Cass,17,38017,,,,,395
Prairie,79,30079,WILLISTON,4,21089,3347,395
Becker,5,27005,,,,,320
Clay,27,27027,,,,,395
Thurston,67,53067,,,,,710
Latah,57,16057,,,,,610
Meagher,59,30059,,,,,505
Yakima,77,53077,,,,,710
Aitkin,1,27001,,,,,320
Stark,89,38089,WILLISTON,269,2220035,5024972,395
Morton,59,38059,,,,,395
Bayfield,7,55007,,,,,310
Clearwater,35,16035,,,,,610
Custer,17,30017,,,,,510
Rosebud,87,30087,POWDER RIVER,54,96938,3353,510
Granite,39,30039,,,,,505
Wadena,159,27159,,,,,320
Crow Wing,35,27035,,,,,320
Pacific,49,53049,,,,,710
Lewis,41,53041,,,,,710
Broadwater,7,30007,,,,,505
Carlton,17,27017,,,,,310
Golden Valley,37,30037,,,,,510
Douglas,31,55031,,,,,310
Musselshell,65,30065,BIG SNOWY TROUGH,49,75993,1935,510
Wheatland,107,30107,,,,,505
Franklin,21,53021,,,,,605
Benton,5,53005,,,,,605
Grant,37,38037,,,,,395
Otter Tail,111,27111,,,,,320
Garfield,23,53023,,,,,605
Fallon,25,30025,WILLISTON,1347,3160598,6024871,395
Idaho,49,16049,,,,,610
Ravalli,81,30081,,,,,610
Ashland,3,55003,,,,,310
Logan,47,38047,,,,,395
Emmons,29,38029,,,,,395
La Moure,45,38045,,,,,395
Slope,87,38087,WILLISTON,17,268198,61830,395
Hettinger,41,38041,,,,,395
Ransom,73,38073,,,,,395
Richland,77,38077,,,,,395
Wilkin,167,27167,,,,,395
Nez Perce,69,16069,,,,,610
Columbia,13,53013,,,,,605
Walla Walla,71,53071,,,,,605
Iron,51,55051,,,,,310
Somerset,25,23025,,,,,100
Piscataquis,21,23021,,,,,100
Jefferson,43,30043,,,,,505
Yellowstone,111,30111,OTHER - MONTANA,12,6702,110,510
Treasure,103,30103,,,,,510
Lewis,61,16061,,,,,610
Asotin,3,53003,,,,,605
Sioux,85,38085,,,,,395
Pine,115,27115,,,,,310
Penobscot,19,23019,,,,,100
Skamania,59,53059,,,,,710
Cowlitz,15,53015,,,,,710
Wahkiakum,69,53069,,,,,710
Todd,153,27153,,,,,320
Morrison,97,27097,,,,,320
McIntosh,51,38051,,,,,395
Dickey,21,38021,,,,,395
Sargent,81,38081,,,,,395
Bowman,11,38011,WILLISTON,533,4430400,6256984,395
Adams,1,38001,,,,,395
Deer Lodge,23,30023,,,,,505
Mille Lacs,95,27095,,,,,320
Clatsop,7,41007,,,,,710
Sweet Grass,97,30097,OTHER - MONTANA,1,0,5176,505
Gallatin,31,30031,,,,,505
Park,67,30067,,,,,505
Columbia,9,41009,OTHER - OREGON,10,0,394741,710
Silver Bow,93,30093,,,,,505
Washburn,129,55129,,,,,310
Sawyer,113,55113,,,,,310
Burnett,13,55013,,,,,310
Kanabec,65,27065,,,,,320
Carter,11,30011,POWDER RIVER,1,9622,0,395
Stillwater,95,30095,OTHER - MONTANA,9,18208,20569,505
Grant,51,27051,,,,,320
Douglas,41,27041,,,,,320
Clark,11,53011,,,,,710
Klickitat,39,53039,,,,,605
Big Horn,3,30003,POWDER RIVER,37,37460,0,510
Traverse,155,27155,,,,,395
Umatilla,59,41059,,,,,605
Wallowa,63,41063,,,,,610
Price,99,55099,,,,,310
Campbell,21,46021,,,,,395
