GHGRP code,Headers per well,Heaters per well,Heater-treater per well,Separators per well,Meters per well,Tanks per well,Compressors per well,Dehydrators per well,Pneumatic Pumps,Pneumatics - All,LU_plunger,LU_noplunger,Thru - tank controls
320,,,,,,,,,,,,,
100,,,,,,,,,,,,,
110,,,,,,,,,,,,,
120,,,,,,,,,,,,,
130,,,,,,,,,,,,,
140,,,,,,,,,,,,,
150,,,,,,,,,,,,,
160,0.000138259,0.06848833,3.77069E-05,0.406593683,0.939907744,0.156546549,0.003632433,0.000175966,0.025326479,0.847186436,0.064667362,0.039265469,0.955532883
200,,,,,,,,,,,,,
210,0.906432749,,0.918128655,0.777777778,0.087719298,1.228070175,,,1.994152047,2.374269006,0.274853801,0,0.8161377
220,0.26103628,0.012928916,0.176187199,0.932995772,0.489676531,1.260692164,0.040703962,0.008996166,0.726575558,3.690836693,0.032346869,0.01494445,0.915539772
230,0.017849369,0.023508925,0.030256857,0.965824989,0.863082281,0.873313017,0.027862429,0.004788855,0.357422725,2.67152808,0.122333478,0.03286896,0.385674024
240,,,,,,,,,,,,,
250,,,,,,,,,,,,,
260,0.017202558,0.066558588,0.011978744,0.69413672,0.967756462,0.76402774,0.040169324,0.007655589,0.541115014,1.334594254,0.049896424,0.011348284,0.41838347
300,,,,,,,,,,,,,
305,0.007003317,0.003685957,0.004607446,0.031699226,0.888868411,0.039439735,0.013638039,0.011426465,0.053630667,0.353114633,,,0.815009273
310,,,,,,,,,,,,,
315,,,,,,,,,,,,,
325,,,,,,,,,,,,,
330,,,,,,,,,,,,,
335,,,,,,,,,,,,,
340,,,,,,,,,,,,,
345,,0.001122586,,0.733048945,0.948136507,,0.049393803,0.004041311,0.252581949,0.950830714,0.38325101,0.6142793,
350,0.198224852,0.019230769,0.139053254,1.01183432,0.322485207,4.75,0.082840237,0,0.674556213,4.878698225,0.032544379,0.053254438,0.961237595
355,0.01446281,0.004132231,0.167355372,0.966942149,0.42768595,0.646694215,0.068181818,0.002066116,0.890495868,0.857438017,,,0.928243852
360,0.091056911,0.124055476,0.290961263,1.016068867,0.639120038,2.464945002,0.093065519,0.004543281,0.211238642,2.687087518,0.010329986,0.067527499,0.834668826
365,,,,,,,,,,,,,
370,,,,,,,,,,,,,
380,,,,,,,,,,,,,
385,,,,,,,,,,,,,
390,,,,,,,,,,,,,
395,0.333524158,0.012021983,0.549461873,0.739638196,0.386306389,4.876001832,0.00045798,0.000343485,0.06789558,1.607052897,0.105449966,0.00045798,0.990805673
400,,,,1.071428571,1,,0.246753247,,1.545454545,4.441558442,,,
410,,,,,,,,,,,,,
415,0.006202805,,,1.056634304,0.939590076,,0.223840345,0.000269687,0.904530744,5.131607335,0.011866235,0.27184466,
420,0.001735776,,0.000578592,1.048987464,0.930954677,0.703375121,0.144069431,0.000771456,0.663452266,1.954098361,0.11533269,0.133076181,0.558274519
425,,,,,,,,,,,,,
430,0.148094918,0.004510427,0.181181579,0.550470919,0.231193811,0.743715981,0.027460094,0.000932665,0.10971806,1.432756406,0.000978533,0.000259923,0.956210568
435,0.003558719,,,0.206405694,0.982206406,0.017793594,0.110320285,,0,0.857651246,,,0
445,,,,,,,,,,,,,
450,,,,0.010791367,1,,,,0,0.35971223,,,
455,,,,,,,,,,,,,
460,,,,,,,,,,,,,
465,,,,,,,,,,,,,
475,,,,,,,,,,,,,
500,,,,,,,,,,,,,
503,,,,,,,,,,,,,
505,,,,,,,,,,,,,
507,,0.839928058,,0.957733813,1,1.865107914,0.010791367,0.696043165,1.147482014,5.902877698,0.07823741,0.482014388,0.041363232
509,,,,,,,,,,,,,
510,,,,,,,,,,,,,
515,0.186046512,0.008944544,1.182468694,0.896243292,0.005366726,10.00894454,,,0.56529517,3.436493739,0.04293381,0.016100179,0.991090508
520,,,,,,,,,,,,,
535,0.000204082,0.227142857,0.008979592,0.777346939,0.73,0.915102041,0.021632653,0.232244898,1.129183673,4.859387755,0.155714286,0.556326531,0.461487719
540,0.045513443,0.081308714,0.024619372,0.555879495,0.349206349,1.33803045,0.070132815,0.000485909,0.036767088,6.290087464,0.031584062,0.306608358,0.990307455
545,0.871794872,,,0.256410256,0.128205128,2.897435897,,,0,1.666666667,,,1
560,,,,,,,,,,,,,
575,0.742056713,0.098735907,0.259309874,0.731124018,0.213187564,2.371028357,0.000683293,0.002391527,0.680560301,10.56952511,0.007174581,0.425691835,0.707005873
585,0.021554169,0.162223483,0.01020987,0.862733976,0.981281906,0.66023823,0.015314804,0.001701645,0.033465683,2.414634146,0,0.037436188,0.609675017
590,,,,,,,,,,,,,
595,0.004393191,0.001464397,,0.49313564,0.308804686,0.760754164,0.002379645,0.001098298,0.121544939,5.611019586,0.036243822,0.531576057,0.737256833
600,,,,,,,,,,,,,
605,,,,,,,,,,,,,
610,,,,,,,,,,,,,
615,,,,,,,,,,,,,
620,,,,,,,,,,,,,
625,,,,,,,,,,,,,
630,,,,,,,,,,,,,
635,,,,,,,,,,,,,
640,,,,,,,,,,,,,
645,,,,,,,,,,,,,
650,,,,,,,,,,,,,
705,,,,,,,,,,,,,
710,,,,,,,,,,,,,
715,,,,,,,,,,,,,
730,,,,,,,,,,,,,
735,,,,,,,,,,,,,
745,0.086105407,,,,,0.06036961,,,0,0.014921287,,,0.146528558
160A,,,,,,,,,,,,,
