Frac wells with LU (plunger),Frac wells with LU (no plunger),Frac wells no LU,Frac flash control,Frac flash control (throughput)
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
,,,,
0,0.142857143,0.857142857,0.15396742,0.99744376
,,,,
0.286167261,0.96313912,-0.249306381,0.122036042,0.470656367
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.000160411,0,0.999839589,0.076011213,0.50094944
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.000924675,0.000165967,0.998909358,0.421052632,0.824457693
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
,,,1.235849057,1
0.001518372,0.000911023,0.997570604,0,0
,,,0.119365308,0.806658447
0.033325264,0.010409102,0.956265634,0.045796623,0.776713985
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
,,,,
,,,0,0.083631564
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.006584198,0.291151237,0.702264565,0.074441687,0.849170942
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.538860104,0.18134715,0.279792746,,
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.083027086,0.089968695,0.827004219,0.242188224,0.907763117
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.000221166,0,0.999778834,0.471962617,0.707839501
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.188851351,0.304617117,0.506531532,0.039551358,0.878544239
,,,,
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.006490558,0.037848233,0.955661209,,
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
,,,,
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
0.006490558,0.037848233,0.955661209,,
0.004063135,0.000468823,0.995468042,,
,,,,
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
,,,,
,,,0.026490066,0.441792347
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0,0.009530195,0.990469805,0.000723739,0.017883704
0,0.000687049,0.999312951,0.010136036,0.602962213
0,0.000292912,0.999707088,0.016789087,0.634074403
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.131665569,0.032916392,0.835418038,0.051829268,0.942370546
0.006490558,0.037848233,0.955661209,,
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
,,,,
,,,,
0.012642225,0.011061947,0.976295828,,
0.030573248,0.011464968,0.957961783,0.840319361,0.990917594
0.000144155,0,0.999855845,0.25070688,0.983271582
0.027155465,0.024439919,0.948404616,0.387377173,0.945286201
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
,,,0.341030195,0.956784239
0.026584867,0.014314928,0.959100204,0.077777778,0.511605619
,,,0.068259386,0.963146151
0,0.01713909,0.98286091,,
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
0.033325264,0.010409102,0.956265634,0.045796623,0.776713985
0.349206349,0,0.650793651,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.111244738,0.071557426,0.817197835,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
,,,0.202912621,0.793037357
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
,,,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.000512821,0,0.999487179,0,0
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.188851351,0.304617117,0.506531532,0.039551358,0.878544239
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0,0.052631579,0.947368421,0.809345794,0.991202959
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
0.583333333,0.020833333,0.395833333,0.352941176,0.969744574
,,,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.013906448,0.005689001,0.980404551,0,0.153958183
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
,,,0.071823204,0.458457208
,,,0.456140351,1.12624226
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.113636364,0,0.886363636,0.084033613,0.580368124
0.004934211,0.004934211,0.990131579,0.849591543,0.993232209
0.004934211,0.004934211,0.990131579,0.849591543,0.993232209
,,,0.953249182,0.977145796
0,0.02726653,0.97273347,0.095360825,0.591513952
7.142857143,14.14285714,-20.28571429,0.155922865,0.943514609
0.006490558,0.037848233,0.955661209,,
0.005639098,0.018796992,0.97556391,0.12339137,0.617519328
,,,,
0.033325264,0.010409102,0.956265634,0.045796623,0.776713985
0.083027086,0.089968695,0.827004219,0.242188224,0.907763117
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.021551724,0.025862069,0.952586207,,
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
,,,0.043172691,0.78748435
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
,,,0.005030181,0.228285223
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
,,,,
0.069767442,0.139534884,0.790697674,0.666666667,0.563502163
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
,,,,
,,,,
0.006490558,0.037848233,0.955661209,,
0.010840108,0.005420054,0.983739837,0.137931034,0.242260642
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.006490558,0.037848233,0.955661209,,
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.04622628,0.076045085,0.877728635,,
0.006490558,0.037848233,0.955661209,,
,,,,
0.002518892,0.031905961,0.965575147,,
0.002343488,0,0.997656512,0.840797595,0.956045471
,,,,
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
,,,0.089285714,0.818286166
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
,,,,
,,,,
,,,,
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
0.016713092,0.04735376,0.935933148,0.00109529,0.261532982
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
,,,,
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
,,,0.164082687,0.88603274
0.083027086,0.089968695,0.827004219,0.242188224,0.907763117
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
,,,,
0.118644068,0.033898305,0.847457627,0.834693878,0.990108832
0.188851351,0.304617117,0.506531532,0.039551358,0.878544239
,,,0,0.947361887
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.069767442,0.139534884,0.790697674,0.666666667,0.563502163
0.006490558,0.037848233,0.955661209,,
0.057803468,0,0.942196532,0.014285714,0.411610577
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
,,,0.285714286,0.705285956
0,0.008797654,0.991202346,,
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
0.001351047,0.000450349,0.998198604,0.045184611,0.865045099
0.030573248,0.011464968,0.957961783,0.840319361,0.990917594
,,,0.164082687,0.88603274
,,,0.434798808,0.997838652
,,,,
0.12962963,0.740740741,0.12962963,0.16374269,0.64688028
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.286167261,0.96313912,-0.249306381,0.122036042,0.470656367
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.049565217,0.000386473,0.950048309,0.841838906,0.98377947
,,,,
0.049565217,0.000386473,0.950048309,0.841838906,0.98377947
0.083027086,0.089968695,0.827004219,0.242188224,0.907763117
0.009342436,0.00323392,0.987423644,0.869338886,0.983500402
,,,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
3.875,19.75,-22.625,0.029904306,0.772683446
0.050098232,0.077996071,0.871905697,0.012069578,0.241521356
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
,,,0.655608215,0.925325619
,,,0.164082687,0.88603274
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.006490558,0.037848233,0.955661209,,
0.000603865,0.01147343,0.987922705,0.844997651,0.96152584
,,,0.916172735,0.996164428
0.143849206,0.011904762,0.844246032,0.056807935,0.987386884
0.024277457,0.148265896,0.827456647,0.013333333,0.422455966
0.069767442,0.139534884,0.790697674,0.666666667,0.563502163
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
0,0.004699739,0.995300261,0.229468599,0.697868569
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
0.002552105,0,0.997447895,0.900715801,0.984999768
,,,0,0.001261001
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
,,,0.892794376,0.936296855
0.010227937,0.002922268,0.986849795,0.88392611,0.967254615
,,,,
,,,,
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0,6.909090909,-5.909090909,0.279134295,0.585985179
,,,,
0.024277457,0.148265896,0.827456647,0.013333333,0.422455966
0,0.080851064,0.919148936,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
,,,,
,,,0.331914894,0.429434242
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.030573248,0.011464968,0.957961783,0.840319361,0.990917594
0.049565217,0.000386473,0.950048309,0.841838906,0.98377947
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
0.188851351,0.304617117,0.506531532,0.039551358,0.878544239
0.35443038,4.797468354,-4.151898734,0.583979328,0.983117086
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
,,,,
0.006490558,0.037848233,0.955661209,,
,,,0.164082687,0.88603274
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.006490558,0.037848233,0.955661209,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
0.033325264,0.010409102,0.956265634,0.045796623,0.776713985
0.088,0.056,0.856,0,0.059755494
11,0,-10,,
,,,0.87752809,0.14633032
,,,0.782881002,0.999258673
,,,,
,,,,
,,,0.851539339,0.944984284
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
0.016094675,0.306272189,0.677633136,0.056377731,0.685791042
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.041666667,0.027777778,0.930555556,0.741081703,0.988259587
,,,0,0.073917899
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.303191489,0,0.696808511,,
,,,,
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0,0.000273673,0.999726327,0.411409142,0.929872236
,,,,
0.049565217,0.000386473,0.950048309,0.841838906,0.98377947
0.027952134,0.016753217,0.955294649,0.627538706,0.914479534
,,,0.914285714,0.935499758
0.023291925,0.218585762,0.758122312,0.523441218,0.992988071
0.006490558,0.037848233,0.955661209,,
0.968253968,0.380952381,-0.349206349,0.970114943,0.978758699
,,,,
0.024277457,0.148265896,0.827456647,0.013333333,0.422455966
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.006490558,0.037848233,0.955661209,,
0.006490558,0.037848233,0.955661209,,
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.006490558,0.037848233,0.955661209,,
82.16666667,43,-124.1666667,,
82.16666667,43,-124.1666667,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.164527421,0.425904317,0.409568261,0.34811828,0.941730287
,,,,
,,,0,0.031544373
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
,,,,
0.192307692,0,0.807692308,0.581395349,0.933399891
3.875,19.75,-22.625,0.029904306,0.772683446
,,,0.164082687,0.88603274
0.068943773,0.16416185,0.766894377,0.060773481,0.862061555
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
,,,0.007103825,0.112941628
,,,,
0.459789474,0.347789474,0.192421053,0.548495575,0.842963901
,,,,
,,,,
,,,,
0.006490558,0.037848233,0.955661209,,
0.025129983,0.058925477,0.915944541,0.401685393,0.999682761
0.025129983,0.058925477,0.915944541,0.401685393,0.999682761
,,,,
0.069767442,0.139534884,0.790697674,0.666666667,0.563502163
0.006490558,0.037848233,0.955661209,,
0.006490558,0.037848233,0.955661209,,
,,,,
0.006490558,0.037848233,0.955661209,,
0.083027086,0.089968695,0.827004219,0.242188224,0.907763117
0.033325264,0.010409102,0.956265634,0.045796623,0.776713985
,,,,
0.027952134,0.016753217,0.955294649,0.627538706,0.914479534
,,,,
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.058011565,0.032270099,0.909718336,0.250313676,0.608214433
,,,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.002343488,0,0.997656512,0.840797595,0.956045471
0.006490558,0.037848233,0.955661209,,
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0,0.045073375,0.954926625,,
0.033325264,0.010409102,0.956265634,0.045796623,0.776713985
,,,,
,,,0.141843972,0.473226026
,,,0.879023307,0.94808109
,,,,
0.188851351,0.304617117,0.506531532,0.039551358,0.878544239
,,,,
0.033325264,0.010409102,0.956265634,0.045796623,0.776713985
0.040232417,0.019419672,0.940347911,0.073263119,0.907615028
0.002598367,0.002227171,0.995174462,0.422396857,0.912087441
0.006490558,0.037848233,0.955661209,,
