Headers per well,Heaters per well,Heater-treater per well,Separators per well,Meters per well,Tanks per well,Compressors per well,Dehydrators per well,Pneumatic Pumps,Pneumatics - All
0.002365131,0.030746706,0.049893006,0.602545332,0.821714157,,0.041220858,0.016668544,0.133460975,1.091113864
,,,,,,,,,
0.3,0.235714286,0.278571429,0.907142857,0.235714286,4.530952381,0.257142857,,0.038095238,62.27380952
0.343283582,,0.009950249,0.014925373,,,,0.343283582,0,0.019900498
0.000396354,0.296868807,0.017439556,0.370590567,0.55648038,1.25366627,0.004359889,0.164090369,0.372175981,8.873959572
0.011680144,0.002994909,0.027253669,0.078316861,0.862683438,,0.05705301,0.01542378,0.030548068,0.526504942
0.099775425,0.057106192,0.363009304,1.356432467,0.502245749,2.002726981,0.070099455,0.001924928,0.247353224,3.076836702
0.011135857,0.002474635,0.034521158,0.068671121,0.757485771,0.062979461,0.053452116,0.018188567,0.036624598,0.518559762
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
,0.063849966,0.000142258,0.277236408,0.969319771,0.000450482,0.003912085,0.000189677,0.00898594,0.741517889
,0.95049505,,2.198019802,1.059405941,,0.445544554,0.069306931,1.158415842,73.40594059
0.021857923,,0.013661202,,0.978142077,,0.06010929,0.049180328,0.076502732,1.401639344
0.673469388,,0.714285714,0.224489796,0.306122449,2.163265306,,,2.551020408,5.551020408
0.017309444,0.154570301,0.003340419,0.503188582,0.866990586,0.310658974,0.016398421,0.005769815,0.699969633,1.752505314
0.155517292,0.004936843,0.161705161,0.392768264,0.081087989,0.074604178,0.015254442,0.000618787,0.051076824,1.13613312
0.01025641,,0,0.302564103,0.973426573,,0.050815851,0.004195804,0.061072261,0.665734266
0.011135857,0.002474635,0.034521158,0.068671121,0.757485771,0.062979461,0.053452116,0.018188567,0.036624598,0.518559762
,,,,,,,,,
0.261548882,0.022849402,0.145540754,0.945992323,0.558229849,0.767080605,0.026191014,0.003973809,0.627184466,3.940528336
0.036669852,0.183468705,0.023530817,0.565695174,0.454968944,1.003822265,0.061634018,0.001433349,0.015647396,3.661132346
0.009248555,0.000315292,0.000630583,1.050972149,0.932947977,0.779926432,0.184025223,0.000525486,0.72338413,3.101418812
0.018815971,0.079623681,,0.864616797,0.993575034,,0.26502983,0.009178522,0.053923818,4.824001836
0.003853565,,0.088631985,0.030828516,0.002890173,,0.027938343,0.02504817,0,0.156069364
,0.981865285,,0.979274611,0.984455959,,0.020725389,0.018134715,0.082901554,9.735751295
0.023503078,0.040197724,0.077317665,0.611173289,0.783529192,0.148666294,0.042156314,0.017160977,0.195299384,1.090188398
,0.007774323,,0.164889679,0.905079224,,0.000814453,,0.000925515,0.296756997
0.031985845,0.156390363,0.039608003,0.956036477,0.862801143,1.4679461,0.043419083,0.131482238,0.474207159,6.919967334
,0.066245107,,1.150255947,1,,,,0.007527853,0.986750979
0.023503078,0.040197724,0.077317665,0.611173289,0.783529192,0.148666294,0.042156314,0.017160977,0.195299384,1.090188398
0.469202698,0.006082052,0.211766007,0.910427955,0.431493973,0.165652991,0.031626673,0.002211655,0.389140772,3.700652438
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
,,,1,1,,0.265734266,,1.664335664,4.629370629
,,,,,,,,,
,,0.5,1.703883495,0.242718447,,0.27184466,0.004854369,0.315533981,1.417475728
0.096477795,,0.127105666,0.597243492,0.874425727,,0.068912711,0.001531394,0.191424196,0.667687596
0.03030303,0.070707071,0.026936027,0.666666667,0.96969697,,0.117845118,0.050505051,0.737373737,3.562289562
1,,1,1,,,,,1.483606557,1.098360656
,,,,,,,,,
0.036669852,0.183468705,0.023530817,0.565695174,0.454968944,1.003822265,0.061634018,0.001433349,0.015647396,3.661132346
0.288043478,,0.673913043,1.016304348,,,,0.005434783,0.304347826,2.788043478
,0.051570558,,0.977965307,1,,0.000468823,,0.002500391,0.682294108
,,,,,,,,,
0.011135857,0.002474635,0.034521158,0.068671121,0.757485771,0.062979461,0.053452116,0.018188567,0.036624598,0.518559762
,,,,,,,,,
0.234947368,0.023578947,0.420631579,1.261894737,0.651368421,4.757894737,0.130947368,0.025263158,0.683789474,2.408842105
0.011135857,0.002474635,0.034521158,0.068671121,0.757485771,0.062979461,0.053452116,0.018188567,0.036624598,0.518559762
0.009248555,0.000315292,0.000630583,1.050972149,0.932947977,0.779926432,0.184025223,0.000525486,0.72338413,3.101418812
0.074074074,0.037037037,0.296296296,0.407407407,,,,,0,1.296296296
0.011062689,0.0280159,0.065849337,0.365643408,0.876442699,0.463196207,0.075140079,0.000862028,0.023801542,0.666347397
0.170388183,0.258502233,0.326348334,1.342665751,0.629165235,1.931810374,0.198900721,0.008759876,0.076262453,3.814668499
0.23960164,0.072934974,0.031927358,1.529876977,0.568834212,0.279144698,0.026362039,0.001464558,1.999414177,8.61218512
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
,0.002633311,,0.35154707,0.000658328,0.215931534,,0.001316656,0.201448321,8.563528637
0.057346617,0.075082134,0.177542135,0.713133364,0.750874756,,0.090226769,0.002751142,0.147600096,1.811720399
0.011135857,0.002474635,0.034521158,0.068671121,0.757485771,0.062979461,0.053452116,0.018188567,0.036624598,0.518559762
,,,,,,,,,
,,,,,,,,,
0.021491783,0.021175727,0.021491783,1.009165613,0.823957016,,0.039190898,0.056890013,0.35840708,3.173830594
0.398726115,0.006369427,1.129936306,0.959235669,0.154140127,7.020382166,,0.398726115,0.412738854,2.908280255
0.307769929,,0.515352458,0.513910912,0.378117342,0.30589592,0.000576618,,0.005477872,1.903704772
0.059063136,0.224032587,0.517311609,0.751527495,0.523421589,1.796334012,0.061099796,0.00407332,0.645621181,3.539035981
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
0.151795058,0.00419757,0.160167448,0.452916686,0.171577103,0.286845338,0.019349775,0.000659781,0.055182691,1.114324066
,0.010224949,,1.081799591,0.795501022,0.18404908,0.049079755,0.016359918,0.400817996,2.678936605
0.217391304,,1.026086957,0.286956522,,2.547826087,,,0.026086957,0.973913043
0.013843111,0.340804219,0.013843111,0.905405405,0.630850363,,0.146011866,,0.004284773,6.138101516
,0.190198366,0.011668611,1.532088681,0.920653442,0.868144691,0.288214702,0.047841307,0.562427071,9.772462077
0.011135318,0.056967643,0.00225934,0.632534495,0.981521827,0.879206003,0.041232954,0.007665618,0.47228274,1.233518922
0.253968254,,1.095238095,,,,,,0,0
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
,0.881539387,,3.973541792,0.785327721,,0.064942874,0.000601323,0.372820204,2.491280818
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
0.234947368,0.023578947,0.420631579,1.261894737,0.651368421,4.757894737,0.130947368,0.025263158,0.683789474,2.408842105
0.403,0.015,0.566,1.156,0.244,4.12,0.104,0.016,0.324,3.944
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
,,,,,,,,,
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
0.002051282,0.009230769,0.011282051,0.786153846,0.884615385,0.044102564,0.02,0.011794872,0.148205128,1.946153846
0.009248555,0.000315292,0.000630583,1.050972149,0.932947977,0.779926432,0.184025223,0.000525486,0.72338413,3.101418812
,0.006531532,0.008671171,0.861711712,1.151351351,0.190765766,0.055855856,0.00213964,0.216216216,1.779391892
,0.066605546,7.14396E-05,0.414468906,0.928667532,0.128877088,0.004060152,0.00055961,0.024718111,0.955040661
0.434210526,,0.763157895,1.013157895,,14.07894737,,,6.078947368,9.552631579
