County,Basin,Well count,Gas [MMscf/day],Oil [bbl/day],GOR [scf/bbl]
Acadia,GULF COAST EAST,190,4.117271233,1599.79726,2573.62063
Adair,OTHER - KENTUCKY,52,0,11.64657534,0
Adams,ARKLA,570,80.47646027,25462.93973,3160.53296
Alameda,CA COAST,2,0.000791781,6.575342466,120.4166667
Albany,GREEN RIVER - OVERTHRUST,24,0.000347945,36.0630137,9.648256476
Alcona,MICHIGAN,203,5.475463014,0,999999
Alfalfa,ANADARKO,1229,165.5301699,10130.42192,16339.90876
Allegan,MICHIGAN,90,0.008112329,68.51506849,118.4021113
Allegany,APPALACHIAN,776,0.467027397,61.44383562,7600.882864
Allegheny,APPALACHIAN,876,477.698,160.3013699,2979999.487
Allen,CHEROKEE PLATFORM,2202,2.701271233,1172.446575,2303.961042
Alpena,MICHIGAN,159,4.60819726,0,999999
Amite,GULF COAST EAST,68,1.194156164,2214.830137,539.163769
Anderson,EAST TEXAS,2665,11.74893425,1691.443836,6946.097765
Andrews,MIDLAND,10092,200.4605507,111883.6164,1791.688158
Angelina,EAST TEXAS,128,242.971126,8.512328767,28543437.72
Antrim,MICHIGAN,446,12.54690411,0,999999
Apache,BLACK MESA,12,0.214953425,11.60821918,18517.34718
Aransas,GULF COAST WEST,32,5.984791781,198.9835616,30076.81505
Arapahoe,DENVER-JULESBURG,126,17.02563562,6625.567123,2569.687289
Archer,FORT WORTH,2059,0.68819726,2293.235616,300.0988016
Archuleta,SAN JUAN,123,52.28029589,4.893150685,10684382.98
Arenac,MICHIGAN,83,1.10660274,295.6438356,3743.026596
Armstrong,APPALACHIAN,6963,217.8281452,20.35342466,10702284.7
Ascension,GULF COAST EAST,6,0.026446575,10.07123288,2625.952122
Ashland,APPALACHIAN,471,0.666254795,59.23561644,11247.53712
Ashley,ARKLA,2,0,18.02739726,0
Ashtabula,APPALACHIAN,1375,2.906265753,282.660274,10281.83307
Assumption,GULF COAST EAST,22,2.929589041,747.4821918,3919.276035
Atascosa,GULF COAST WEST,2140,73.56095342,67176.2274,1095.044427
Athens,APPALACHIAN,660,0.760671233,27.38356164,27778.38919
Atoka,ARKOMA,144,33.98486849,10.47123288,3245546.049
Auglaize,CINCINNATI ARCH,6,0.000441096,0.008219178,53666.66667
Austin,GULF COAST CENTRAL,176,20.11360548,608.6931507,33043.91623
Avoyelles,GULF COAST EAST,34,0.088665753,329.8849315,268.7778221
Baca,ANADARKO,82,0.773410959,43.07123288,17956.55493
Baldwin,GULF COAST EAST,6,0.005536986,49.89589041,110.9707885
Bandera,KERR,1,0,2.438356164,0
Banner,DENVER-JULESBURG,88,0.00870137,234.3013699,37.13751169
Barber,ANADARKO,2211,28.37806027,1448.19726,19595.43845
Barbour,APPALACHIAN,1754,45.99759452,10.56438356,4354025.415
Barren,OTHER - KENTUCKY,30,0,5.643835616,0
Barry,MICHIGAN,1,0,3.783561644,0
Barton,SALINA,1666,0.446975342,3767.309589,118.6457688
Bastrop,GULF COAST CENTRAL,186,0.165446575,179.8712329,919.8056448
Bay,MICHIGAN,308,0.455334247,624.0986301,729.5869989
Baylor,FORT WORTH,106,0,158.7068493,0
Beauregard,GULF COAST EAST,153,5.796660274,2084.816438,2780.417579
Beaver,ANADARKO,2122,316.7152548,3498.408219,90531.24591
Beckham,ANADARKO,815,87.44090411,1952.40274,44786.30476
Bee,GULF COAST WEST,362,25.59475616,803.2630137,31863.48148
Bell,APPALACHIAN,365,2.649783562,105.7671233,25052.99832
Belmont,APPALACHIAN,663,2444.475649,1418.082192,1723789.822
Bent,ANADARKO,16,0.452317808,0,999999
Benzie,MICHIGAN,12,0.29220274,0,999999
Bexar,KERR,1409,0.019567123,171.6,114.027525
Bibb,BLACK WARRIOR,53,1.142706849,0,999999
Bienville,ARKLA,959,290.0820493,133.6164384,2171005.7
Big Horn,POWDER RIVER,463,3.129079452,3234.950685,967.2726903
Billings,WILLISTON,470,13.59866849,9464.589041,1436.794396
Blaine,ANADARKO,1984,856.3587808,51078.92877,16765.40212
Blair,APPALACHIAN,6,1.295246575,0,999999
Boone,APPALACHIAN,1103,13.82669863,13.24383562,1044010.137
Borden,MIDLAND,650,19.55386849,19030.19178,1027.518205
Bossier,ARKLA,1549,700.4264603,1580.284932,443227.9561
Bottineau,WILLISTON,450,0.491657534,3396.90411,144.7369482
Boulder,DENVER-JULESBURG,304,8.878657534,902.9753425,9832.668863
Bourbon,CHEROKEE PLATFORM,554,0,105.5835616,0
Bowie,EAST TEXAS,9,0.018493151,74.08493151,249.620946
Bowman,WILLISTON,533,17.14242192,12138.08219,1412.284218
Boyd,APPALACHIAN,39,0.391679452,0,999999
Bradford,APPALACHIAN,1372,2414.778896,0,999999
Braxton,APPALACHIAN,1105,3.540339726,7.2,491713.8508
Brazoria,GULF COAST CENTRAL,375,22.59677808,8178.958904,2762.793938
Brazos,GULF COAST CENTRAL,802,30.57343562,26564.56164,1150.910601
Breathitt,APPALACHIAN,82,0.412167123,4.906849315,83998.32496
